Date,143850.KS,195980.KS,148070.KS,153130.KS
2015-11-10,24075.0,8315.0,117975.0,101590.0
2015-11-11,24120.0,8280.0,117825.0,101590.0
2015-11-12,24075.0,8325.0,117940.0,101605.0
2015-11-13,23695.0,8215.0,117690.0,101610.0
2015-11-16,23335.0,8075.0,118195.0,101605.0
2015-11-17,23800.0,8170.0,118105.0,101615.0
2015-11-18,23765.0,8175.0,118070.0,101625.0
2015-11-19,24140.0,8280.0,118280.0,101630.0
2015-11-20,24120.0,8330.0,118565.0,101640.0
2015-11-23,24240.0,8380.0,118315.0,101635.0
2015-11-24,24175.0,8345.0,118390.0,101640.0
2015-11-25,24185.0,8350.0,118435.0,101640.0
2015-11-26,24250.0,8355.0,118605.0,101645.0
2015-11-27,24250.0,8265.0,118610.0,101635.0
2015-11-30,24185.0,8150.0,118570.0,101625.0
2015-12-01,24240.0,8185.0,118290.0,101630.0
2015-12-02,24365.0,8190.0,118575.0,101640.0
2015-12-03,24185.0,8145.0,118495.0,101665.0
2015-12-04,23865.0,8100.0,118000.0,101690.0
2015-12-07,24220.0,8075.0,118110.0,101685.0
2015-12-08,24040.0,7950.0,118360.0,101690.0
2015-12-09,23965.0,7885.0,118855.0,101695.0
2015-12-10,23795.0,7875.0,118805.0,101705.0
2015-12-11,23865.0,7760.0,118905.0,101720.0
2015-12-14,23465.0,7635.0,118975.0,101720.0
2015-12-15,23440.0,7680.0,118745.0,101720.0
2015-12-16,23765.0,7830.0,118935.0,101730.0
2015-12-17,23985.0,7865.0,119265.0,101735.0
2015-12-18,23575.0,7890.0,119790.0,101740.0
2015-12-21,23370.0,7855.0,120085.0,101750.0
2015-12-22,23550.0,7850.0,119930.0,101755.0
2015-12-23,23670.0,7935.0,119950.0,101765.0
2015-12-24,23860.0,8005.0,119810.0,101770.0
2015-12-28,23905.0,7985.0,120165.0,101775.0
2015-12-29,23895.0,7940.0,117255.0,100060.0
2015-12-30,24105.0,7920.0,117225.0,100030.0
2016-01-04,23520.0,7735.0,117710.0,100040.0
2016-01-05,23460.0,7630.0,117280.0,100055.0
2016-01-06,23275.0,7565.0,117465.0,100065.0
2016-01-07,22855.0,7410.0,117825.0,100080.0
2016-01-08,22770.0,7365.0,117495.0,100080.0
2016-01-11,22255.0,7205.0,117625.0,100080.0
2016-01-12,22215.0,7135.0,117670.0,100085.0
2016-01-13,22690.0,7225.0,117715.0,100090.0
2016-01-14,22040.0,7130.0,117820.0,100100.0
2016-01-15,22230.0,7105.0,117450.0,100110.0
2016-01-18,21910.0,6965.0,117840.0,100105.0
2016-01-19,22120.0,6975.0,117340.0,100120.0
2016-01-20,21525.0,6880.0,117890.0,100125.0
2016-01-21,21630.0,6800.0,117805.0,100135.0
2016-01-22,21945.0,6870.0,117615.0,100135.0
2016-01-25,22140.0,7080.0,117805.0,100140.0
2016-01-26,21775.0,6995.0,118165.0,100140.0
2016-01-27,22040.0,7015.0,117945.0,100145.0
2016-01-28,21940.0,7060.0,117935.0,100150.0
2016-01-29,22130.0,7185.0,118235.0,100160.0
2016-02-01,22505.0,7340.0,118890.0,100175.0
2016-02-02,22425.0,7295.0,118980.0,100195.0
2016-02-03,22135.0,7105.0,119310.0,100200.0
2016-02-04,22360.0,7225.0,119380.0,100225.0
2016-02-05,22265.0,7320.0,119290.0,100230.0
2016-02-11,21465.0,7115.0,120390.0,100240.0
2016-02-12,21375.0,7020.0,120260.0,100260.0
2016-02-15,21980.0,7135.0,119900.0,100250.0
2016-02-16,22115.0,7225.0,120495.0,100255.0
2016-02-17,22010.0,7180.0,120330.0,100280.0
2016-02-18,22495.0,7320.0,120230.0,100290.0
2016-02-19,22465.0,7295.0,120165.0,100285.0
2016-02-22,22535.0,7340.0,120050.0,100285.0
2016-02-23,22590.0,7390.0,120120.0,100275.0
2016-02-24,22415.0,7300.0,120075.0,100280.0
2016-02-25,22625.0,7265.0,120100.0,100290.0
2016-02-26,22780.0,7305.0,120400.0,100300.0
2016-02-29,22635.0,7270.0,120435.0,100305.0
2016-03-02,23200.0,7555.0,120080.0,100315.0
2016-03-03,23175.0,7650.0,119720.0,100315.0
2016-03-04,23275.0,7745.0,119495.0,100325.0
2016-03-07,23290.0,7830.0,119500.0,100325.0
2016-03-08,23265.0,7785.0,119845.0,100325.0
2016-03-09,23215.0,7735.0,119785.0,100335.0
2016-03-10,23255.0,7820.0,119670.0,100350.0
2016-03-11,23400.0,7870.0,119290.0,100345.0
2016-03-14,23575.0,7950.0,119080.0,100330.0
2016-03-15,23515.0,7855.0,119220.0,100340.0
2016-03-16,23575.0,7770.0,119175.0,100340.0
2016-03-17,23660.0,7930.0,119620.0,100355.0
2016-03-18,23800.0,8090.0,120025.0,100365.0
2016-03-21,23825.0,8110.0,120135.0,100360.0
2016-03-22,23915.0,8145.0,119990.0,100360.0
2016-03-23,23870.0,8105.0,119645.0,100360.0
2016-03-24,23700.0,8010.0,119925.0,100375.0
2016-03-25,23900.0,8005.0,119915.0,100385.0
2016-03-28,23800.0,7990.0,119990.0,100385.0
2016-03-29,23745.0,8000.0,120240.0,100390.0
2016-03-30,24000.0,8120.0,120665.0,100415.0
2016-03-31,24020.0,8180.0,120520.0,100420.0
2016-04-01,23895.0,8095.0,120515.0,100425.0
2016-04-04,24160.0,8095.0,120580.0,100420.0
2016-04-05,23995.0,8030.0,120480.0,100430.0
2016-04-06,23895.0,7960.0,120590.0,100435.0
2016-04-07,24085.0,7975.0,120395.0,100445.0
2016-04-08,23895.0,7940.0,120415.0,100440.0
2016-04-11,23815.0,8060.0,120595.0,100450.0
2016-04-12,23845.0,8110.0,120590.0,100455.0
2016-04-14,24250.0,8290.0,120035.0,100470.0
2016-04-15,24275.0,8295.0,120110.0,100460.0
